Frequency,Monetary,Recency,R_score,F_score,M_score,RFM_Score,Segment,Churn
1,77183.6,325,1,1,5,115,Lost Customers,1
7,4310.0,1,5,5,5,555,Champions,0
4,1797.24,74,2,4,4,244,At Risk,0
1,1757.55,18,4,1,4,414,New  Customers,0
1,334.4,309,1,1,2,112,Lost Customers,1
8,2506.04,35,3,5,5,355,Loyal Customers,0
1,89.0,203,1,1,1,111,Lost Customers,1
1,1079.4,231,1,1,4,114,Lost Customers,1
1,459.4,213,1,1,2,112,Lost Customers,1
3,2811.43,22,4,3,5,435,Loyal Customers,0
1,6207.67,32,4,1,5,415,New  Customers,0
2,1168.06,1,5,2,4,524,New  Customers,0
4,6310.03,57,3,4,5,345,Loyal Customers,0
3,2662.06,51,3,3,5,335,Loyal Customers,0
1,189.9,286,1,1,1,111,Lost Customers,1
10,5226.23,2,5,5,5,555,Champions,0
2,552.0,109,2,2,3,223,Lost Customers,1
4,1313.1,7,5,4,4,544,Champions,0
2,641.38,290,1,2,3,123,Lost Customers,1
1,168.9,3,5,1,1,511,New  Customers,0
4,3541.94,50,3,4,5,345,Loyal Customers,0
2,1887.96,44,3,2,4,324,Lost Customers,1
3,1298.04,71,3,3,4,334,Loyal Customers,0
1,364.6,310,1,1,2,112,Lost Customers,1
1,742.9300000000001,24,4,1,3,413,New  Customers,0
2,457.5,10,5,2,2,522,New  Customers,0
2,1628.12,314,1,2,4,124,Lost Customers,1
1,4008.62,129,2,1,5,215,Lost Customers,1
2,852.24,81,2,2,3,223,Lost Customers,1
4,2724.81,21,4,4,5,445,Champions,0
5,1845.31,4,5,4,4,544,Champions,0
5,1850.56,184,1,4,4,144,At Risk,0
2,585.27,28,4,2,3,423,New  Customers,0
2,401.9,337,1,2,2,122,Lost Customers,1
6,2780.66,15,4,4,5,445,Champions,0
1,549.84,79,2,1,3,213,Lost Customers,1
1,439.66,21,4,1,2,412,New  Customers,0
4,1582.6000000000001,71,3,4,4,344,Loyal Customers,0
2,1272.48,63,3,2,4,324,Lost Customers,1
12,3018.63,18,4,5,5,455,Champions,0
2,2409.9,35,3,2,5,325,Lost Customers,1
1,1635.6599999999999,45,3,1,4,314,Lost Customers,1
4,1108.65,118,2,4,4,244,At Risk,0
1,84.3,302,1,1,1,111,Lost Customers,1
1,225.6,322,1,1,1,111,Lost Customers,1
1,427.7,49,3,1,2,312,Lost Customers,1
1,1710.39,148,2,1,4,214,Lost Customers,1
2,3415.3,21,4,2,5,425,New  Customers,0
5,1708.1200000000001,49,3,4,4,344,Loyal Customers,0
5,2888.55,32,4,4,5,445,Champions,0
3,11072.67,78,2,3,5,235,At Risk,0
2,693.3299999999999,308,1,2,3,123,Lost Customers,1
3,1226.88,74,2,3,4,234,At Risk,0
3,758.1,66,3,3,3,333,Loyal Customers,0
3,562.41,216,1,3,3,133,At Risk,0
21,124914.53,23,4,5,5,455,Champions,0
9,3649.1,2,5,5,5,555,Champions,0
1,668.58,112,2,1,3,213,Lost Customers,1
1,600.39,63,3,1,3,313,Lost Customers,1
4,807.04,15,4,4,3,443,Loyal Customers,0
3,803.5600000000001,95,2,3,3,233,At Risk,0
8,1859.31,0,5,5,4,554,Champions,0
2,1760.96,162,2,2,4,224,Lost Customers,1
1,777.2,77,2,1,3,213,Lost Customers,1
1,582.73,194,1,1,3,113,Lost Customers,1
3,825.8,21,4,3,3,433,Loyal Customers,0
9,7956.46,25,4,5,5,455,Champions,0
4,3750.4,8,5,4,5,545,Champions,0
1,256.4,42,3,1,2,312,Lost Customers,1
15,6419.95,35,3,5,5,355,Loyal Customers,0
5,5059.32,42,3,4,5,345,Loyal Customers,0
7,13375.87,0,5,5,5,555,Champions,0
2,806.14,84,2,2,3,223,Lost Customers,1
2,7829.89,79,2,2,5,225,Lost Customers,1
1,509.01,99,2,1,3,213,Lost Customers,1
18,4951.41,1,5,5,5,555,Champions,0
2,2906.85,13,4,2,5,425,New  Customers,0
1,173.55,366,1,1,1,111,Lost Customers,1
1,172.06,2,5,1,1,511,New  Customers,0
5,5005.46,20,4,4,5,445,Champions,0
1,133.4,21,4,1,1,411,New  Customers,0
1,1002.3100000000001,57,3,1,4,314,Lost Customers,1
1,476.49,242,1,1,2,112,Lost Customers,1
1,449.45,43,3,1,2,312,Lost Customers,1
4,4067.29,21,4,4,5,445,Champions,0
2,197.88,155,2,2,1,221,Lost Customers,1
5,9035.52,10,5,4,5,545,Champions,0
2,430.57,16,4,2,2,422,New  Customers,0
1,707.09,133,2,1,3,213,Lost Customers,1
1,3528.34,55,3,1,5,315,Lost Customers,1
6,2466.86,72,2,4,5,245,At Risk,0
3,3181.04,43,3,3,5,335,Loyal Customers,0
7,2363.23,65,3,5,5,355,Loyal Customers,0
2,947.4,70,3,2,4,324,Lost Customers,1
2,826.88,93,2,2,3,223,Lost Customers,1
2,1189.59,18,4,2,4,424,New  Customers,0
4,1344.78,52,3,4,4,344,Loyal Customers,0
8,1212.05,9,5,5,4,554,Champions,0
2,742.1899999999999,16,4,2,3,423,New  Customers,0
2,729.5400000000001,187,1,2,3,123,Lost Customers,1
30,19788.65,1,5,5,5,555,Champions,0
7,6572.11,31,4,5,5,455,Champions,0
5,3928.0499999999997,28,4,4,5,445,Champions,0
18,7324.09,16,4,5,5,455,Champions,0
1,723.38,53,3,1,3,313,Lost Customers,1
11,6816.42,15,4,5,5,455,Champions,0
6,13219.74,22,4,4,5,445,Champions,0
1,680.99,3,5,1,3,513,New  Customers,0
1,527.2,10,5,1,3,513,New  Customers,0
4,3281.63,27,4,4,5,445,Champions,0
10,5579.82,22,4,5,5,455,Champions,0
8,2484.98,16,4,5,5,455,Champions,0
